Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
47,,Symphyotrichum,Asteraceae,,"1-6 ft. tall, 1-4 ft. wide (varies by type)",Full,"Loamy, well-drained","Neutral, acidic",,"Purple, pink, blue, white","3, 6, 7, 8",North America,
48,"Astilbe, false spirea, false goat's beard",Astilbe spp.,Saxifragaceae,Rhizomatous flowering perennial,"6 in.-2 ft. tall, 6 in.-5 ft. spread depending on species","Partial shade, full sun","Loamy, moist",Slightly acidic (6.0),Spring to summer,"Pink, red, white",3-8 (USDA),"Asia, North America",
49,"Australian tree fern, Cooper's tree fern, lacy tree fern, scaly tree fern",Cyathea cooperi (also known as Sphaeropteris cooperi),Cyatheaceae,Evergreen fern,"15-25 ft. tall, 10-12 ft. wide","Partial shade, full shade","Moist, well-drained",Neutral to acidic,,,9-11 (USDA),Australia,
50,"Autograph tree, copey, balsam apple, pitch apple",Clusia rosea,Clusiaceae,Perennial evergreen,"8 to 10 ft. tall and wide, 25 ft. tall as a tree",Full sun,"Sand, clay, loam, well-draining",Slightlyacidicto neutral,Summer,White or pink,"10-11, USA",Caribbean,"Toxic to humans, toxic to dogs and cats"
51,"Autumn blaze maple tree, Freeman maple",Acer x freemanii (Jeffersred) 'Autumn Blaze',,Tree,"40-55 ft. tall, 30-40 ft. wide","Full sun, partial shade",Moist but well-drained,Acidic,Does not flower,Does not flower,3-8 (USDA),North America,
52,"Autumn sage, Texas sage,",,Lamiaceae,"Perennial, ""subshrub""",,,,,,,,,
53,Avocado Tree,Persea americana,Lauraceae,"Tree, Fruit","60 ft. tall, 30 ft. wide","Full, Partial","Loamy, Sandy, Well-drained","Acidic, Neutral","Late Winter, Spring, Early Summer","Yellow, Green","9-11, USA","North America, Central America, Asia",Toxic to pets
54,Azalea,Rhododendron spp.,Ericaceae,Deciduous or evergreen shrub,"3-20 ft. tall, wide",,"Light, well-drained",Acidic (4.5 to 6.0),Early spring to summer,"White, pink, red, orange, peach",3-9 (USDA); varies by species,"Asia, Europe, North America","Toxic to human, pets"
55,,"Peperomia spp. (including P. caperata, P. obtusifolia, and others)",Piperaceae,"Perennial, epiphyte","6-12 in. tall, 6-12 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,Summer,"White, green, brown",10-12 (USDA),"Central America, South America, and the Caribbean",
56,"Baby tears, baby's tears, angel's tears",Soleirolia soleirolii,Urticaceae,"Herbaceous perennial, often grown as an annual",4 in. tall; 36 in. wide,Partial sun to shade,"Rich, moist loam",5.0 to 6.0 ( slightly acidic),Late spring to early summer; May to June,Creamy ivory,9 to 11 (USDA),Mediterranean,
57,"Baby Toes, Baby's Toes, Window Plant",Fenestraria rhopalophylla,,Succulent,3 inches tall,Full,"Sandy, well-drained",Acidic,"Spring, fall","Yellow, white","10a, 10b, 11a, 11b",Namibia and South Africa, to pets is widely debated; exercise caution
58,Baby's breath,Gypsophila,,"Perennial, annual",2-3 feet tall and wide,Full,Well-drained,Alkaline,Summer,"White, pink",3-9 (USDA),"Europe, Africa, Asia, Australia",Toxic to people and pets
59,,,,,,,,,,,,,
60,Bald Cypress,Taxodium distichum,,,"50-70 ft. tall, 20-30 ft. wide",Full sun,"Average, medium to wet, but adaptable","Prefers acidic, but can be adaptable",Non-flowering,Non-flowering,"4-9, USDA",,
61,"Ball cactus, balloon cactus, silver ball cactus, blue ball cactus, rounded ball cactus",Parodia magnifica,Cactaceae,Cactus,"3-12 in. tall, 3-18 in. wide","Full sun, partial shade","Sandy, well-drained",Acidic,Summer,"Yellow, pink, red, orange",9-12 (USA),South America,
62,"Balloon flower, Chinese bellflower, Japanese bellflower",Platycodon grandiflorus,Campanulaceae (bellflower),Herbaceous perennial,"1- 2 1/2 ft. tall, 1-1 1/2 ft. wide",Full sun to part shade,"Rich, loamy, medium moisture, well-draining",5.5-7.5 (acidic to slightly alkaline),Summer,"Blue-violet, white, pink",3-8 (USDA),"China, Korea, Japan, Russia",
63,Balm of Gilead,Populus x jackii,Salicaceae,Tree,"100 ft. tall, 40 ft. wide",Full,"Loamy, sandy, moist but well-drained",Neutral,Spring,"Red, yellow, green","2-7, USDA",North America,
64,Balsam fir,Abies balsamea,Pinaceae,Tree,"50-75 ft. tall, 20-25 ft. long, 20-25 ft. wide","Full, partial","Loamy, sandy, moist but well-drained",Acidic,NA,NA,"3-5, USA",North America,"Toxic to people, toxic to pets"
65,Bamboo palm,Chamaedorea seifrizii,,"Perennial, clustered parlour palm, reed palm, cane palm","4-12 ft. tall, 3-5 ft. wide","Partial, shade",Moist but well-drained,"Acidic, neutral","Spring, summer","Yellow, orange","10-11, USA",Central America,
66,,Musa spp.,Musaceae,"Herbaceous, perennial","2-30 ft. tall, 1-15 ft. wide (varies widely by species)",Full,"Loamy, well-drained",Acidic,Spring,"White, purple, orange",9-11 (USDA),"Asia, Africa, Australia",
67,Banana Yucca,Yucca baccata,,Cactus/Succulent,Foliage 2-3 feet; bloom spike 2 feet,Full sun,Dry and sandy; well-drained,6.6-8.7,Spring,Cream/White,11-May,Southwestern US and Mexico,
68,"Epimedium, barrenwort, bishop’s hat, fairy wings, horny goat weed",Epimedium,Berberidaceae,"Perennial, groundcover","8-12 in. tall, 12-36 in. wide","Partial, shade","Loamy, sandy, moist but well-drained","Acidic, neutral, alkaline",Spring,"Red, pink, orange, yellow, purple, white","5-8, USA","Asia, Mediterranean",
69,"Bartlett Pear Tree, Williams Pear Tree",Pyrus communis,Rosaceae,"Tree, Fruit","20 ft. tall (standard), 15 ft. tall (dwarf), 20 ft. wide (standard), 10 ft. wide (dwarf)",Full,"Loamy, clay, moist but well-drained",Acidic,Spring,White,"5-7, USA",Europe,
70,"Baseball plant, sea urchin plant",Euphorbia obesa,,Succulent perennial,"7 to 8 inches tall, up to 4 inches wide","Bright, direct light; tolerates some shade",Well-draining cactus/succulent potting mix,6.0-7.0 (slightly acidic to neutral),Summer (flowers are fairly insignificant),Grayish-green,10-11 (USDA); grown as houseplants in all zones,South Africa,Mildly toxic
71,"Basket flower, basket-flower, American basketflower, American starthistle",Centaurea americana,,"Annual, herb","2-5 ft. tall, 2-3 ft. wide",Full sun,"Sandy, loamy, clay","Acid, neutral",Late spring to early summer,"Lavender, pink, purple, white","3 - 9, USDA",North America,
72,"Basswood, Linden, Lime",Tilia spp.,,Deciduous tree,Malvaceae,Full sun,"Average, medium moisture, well-drained",Varies,Late spring,Pale yellow,Varies,Varies,
73,"Bat flower, tiger beard, cat's whiskers, devil's flower",Tacca chantrieri,,Perennial,"36 inches tall, 12 inches wide",Partial sun to dappled shade,"Fertile, well-drained",6.1 to 7.5,Late summer through fall,Black (dark purple),9b to 11,"Southeast Asia, Australia",
74,Summer savory,Satureja hortensis,,Annual herb,12-24 in. tall,Full sun,Loamy,6.6-7.5,Summer,"Pink, lilac, or white",1-11 (USDA),"Eastern Mediterranean, the Caucasus",
75,,Acanthus mollis,,Perennial,3 to 6 feet tall and 3 to 6 feet wide,Full sun to partial shade,Rich soil with proper drainage,6.5 to 7.5,Late spring to mid summer,White flowers grow on tall (3 feet) flower stalks and are hooded by purple bracts,"6 to 10; they can often survive winter down to Zone 5, but can be a gamble in a harsh winter",Southern Europe and Mediterranean region,
76,Bearded iris,Irisgermanica,Iridaceae,"Herbaceous, perennial","12-40 in. tall, 1 -2 ft. wide",Full,"Average, well-draining",,Spring,"Red, orange, yellow, blue, purple, brown, white, pink, many bicolors",3-9 (USDA),Southern Europe and the Mediterranean,Toxic to dogs and cats
77,Beardtongue,Penstemon,,"Herbaceous, perennial",6 in. to 8 ft. tall and 8 to 20 in. wide,Full,Well-drained,Neutral to acidic,"Spring, summer","Purple, blue, orange, red, yellow, pink, white","3, 4, 5, 6, 7, 8",North America,
78,"American beautyberry, beautyberry, French mulberry",Callicarpa americana,Verbenaceae,"Perennial, shrub",3-6 ft. tall and wide,"Full, partial","Clay, moist",Acidic to neutral (5.0 to 7.0),"Spring, summer","Pink, lavender",6-10 (USDA),North America,
79,Becky shasta daisy,Leucanthemum x superbum 'Becky',,"Herbaceous, perennial","3-4 ft. tall, 2-3 ft. wide",Full,Well-drained,Neutral,Summer,White with a yellow center,5-9 (USDA),Hybrid developed in North America,Toxic to people and animals
80,"Bee Balm, Wild Bergamot",Monarda,Lamiaceae,"Perennial, Herb","10-15 in. tall (dwarf), 2-4 ft. tall (standard), 18-24 in. wide (dwarf), 3-4 ft. wide (standard)","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Summer, Fall","Red, Pink, Purple, White","3-9, USA",North America,
81,Beefsteak Tomatoes,"Solanum lycopersicum ""Beefsteak""",,"Annual, vegetable",,,,,,,"2-11, USDA",,
82,"Beet, beetroot",Beta vulgaris,Amaranthaceae,"Annual, vegetable",,"Full sun, part sun","Loamy, moist, well-drained","Acidic, neutral (6.0-7.0)",Seasonal,,2-11 (USDA),Europe,
83,,Moluccella laevis,Lamiaceae,Annual,"2-3 ft. tall, 10-12 in. wide",Full sun to partial shade,"Moist, well-drained",Neutral (6.5-7.5),July to September,White,"2-11, USA","Turkey, western Asia",
84,"Bee balm, scarlet bee balm, red bee balm, Oswego tea, bergamot",Monarda didyma,,Herbaceous perennial,"2-4 ft. tall, 2-3 ft. wide","Full sun, partial shade","Rich, moist",Neutral to acidic,Summer,"Red, purple, pink",4-9 (USDA),North America,
85,"Pig squeak, heartleaf bergenia, elephant's ears",Bergenia cordifolia,,Hardy perennial,1 to 2 feet tall and wide,Part shade to full shade,Moist and rich loam or clay,Slightly acidic to neutral (5.8 to 7.0),April and May,"Pink, red, white",4 to 8 (USDA),"Europe, Asia",
86,Better Boy tomato,Solanum lycopersicum ‘Better Boy’,,Annual vegetable,"5-8 ft. tall, 2-3 ft. wide",Full; 6 to 8 or more hours per day,"Loamy, moist but well-drained","6.5 to 6.8, slightly acidic","Summer, Fall",Yellow,"3-11, USA",North America,Toxic to pets
87,Bidens,Bidens,,"Annual, perennial","6-12 in. tall, 1-3 ft. wide","Full, partial",Well-drained,Slightly acidic to neutral,Summer,"Yellow, Gold, White, Pink, Orange","8, 9, 10, 11","North America, South America, Africa, Europe, Asia",
88,"Big bluestem, turkey foot, tall bluestem, bluejoint",Andropogon gerardi,,Grass,6-8 ft. tall,"Full sun, part shade","Sandy, loam, clay, well-draining",4.8-6.9,Summer,"Purple, yellow",4-9 (USDA),North America,
89,,Magnolia macrophylla,,Tree,30-40 ft. tall and wide,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Late spring to early summer,Creamy white with purple petal bases,5-8 (USDA),"Caribbean, North America, Central America",
90,"Bigleaf Periwinkle, Greater Periwinkle, Blue Periwinkle",Vinca major,,Evergreen perennial,6-8 inches tall,Shade to full sun,"Well-drained, clay or loam",Slightly acidic,Mid to late spring,"Purple, blue",4-9 (USDA),"Southern Europe, Northern Africa, Asia",Mildly toxic
91,"Bird of paradise, crane flower","Strelitzia reginae, Strelitzia nicolai",Strelitziaceae,Herbaceous perennial,"3.5-6 ft. tall, 3-4 ft. wide",Full to partial,Loamy,Slightly acidic,Late winter to early spring,Orange or white,10-12 (USDA),Africa (South Africa),Toxic to pets
92,"Bird's nest fern, nest fern",Asplenium nidus,Aspleniaceae,Perennial,"3-5 ft. tall, 2-3 ft. wide","Partial, shade","Loamy, moist, well-drained",Acidic,None,None,"11-12, USA","Asia, Australia, Africa",
93,Black ash,Fraxinus nigra,,Deciduous tree,"40 to 60 feet height, 2 feet width",Full sun,Adaptable to a wide range of soils,4.4 to 8.2,April to May,Greenish-yellow,9-Feb,,
94,Black bamboo,Phyllostachys nigra,,Grass,"30 ft. tall, 2 in. wide",Full sun to partial shade,"Well-draining, moist, loamy",Acidic to slightly alkaline,Every 40 to 60 years,Brown,"7 to 10, USA",Asia,Non-toxic
95,Black Diamond Watermelon,Citrullus lanatus ‘Black Diamond’,,Annual,vines can be 20 ft. long,Full,"Loamy, Sandy, Moist but Well-drained","Acidic, Neutral",Summer,Yellow,"3-9, USA",North America,
96,Black Lace elderberry,"Sambucus nigra 'Eva'; ""Black Lace"" is the name used in trade",,"Deciduous, multi-stemmed shrub",6 to 8 feet tall and 6 to 8 feet wide,Full sun to partial shade,,,,Light pink,"4 to 7, USA",Europe,Toxic to dogs and cats
97,Black mustard,Brassica nigra,,,2 to 8 ft. tall,Full sun,"Rich, Moist Loams,",Neutral,March to June,Bright Yellow,USDA zones 4-7,,
98,"Black sapote, chocolate pudding fruit, chocolate sapote",Diospyros nigra,,Evergreen fruit tree,,Full sun,,Slightly acidic to slightly alkaline (5.5 to 7.5),,,10-11 (USDA); usually grown as a potted houseplant,Central America,
99,,,,Deciduous tree,"30-60 ft. tall, 40-60 ft. wide","Full sun, part shade","Moist, well-drained soil, wet soil",4.5 to 7.5,Early spring,Gold,USDA 4a-9a,Eastern to Midwest North America,
100,"Black-Eyed Susan vine, clockvine",Thunbergia alata,Acanthaceae,"Vine, annual, perennial","3-8 ft. tall, 3-6 ft. wide","Full, partial",Well-drained,"Neutral to acidic, alkaline",Summer,"Orange, white, yellow, red, pink","9, 10, 11 (USDA)",Africa,
101,Blackberry,Rubus Fruticosus,,Perennial,,Full sun,"Rich, well-drained loam",Slightly acidic to neutral (5.5 to 7.0),,,8-May,"North America, especially the Pacific Northwest",
102,Blackberry lily; leopard lily,Iris domestica,,Herbaceous perennial,"2-3 feet tall, 9-24 inches wide",Full sun,Well-drained,6.1 to 7.8 (slightly acidic to slightly alkaline),Mid to late summer,Orange with red spots,5-10 (USDA),"India, China, Russia",Mildly toxic to humans and animals
103,,Viburnum prunifolium,,"Perennial, shrub","12-15 ft. tall, 6-12 ft. wide","Full, partial","Moist, well-drained",Neutral,Spring,White,3-9 (USDA),,
104,,Gaillardia x Grandiflora,Asteraceae,Herbaceous perennial,24 - 36 in. tall; 12- to 24-in. spread,Full sun,"Poor, well-draining soil",6.1 to 6.5 (slightly acidic),"Repeat bloomer, summer through fall","Various shades of red, yellow, orange, or peach",3-10 (USDA); varies by variety,Cultivated hybrid; parents are native North American wildflowers,Slightly toxic to humans
105,"Bleeding heart, common bleeding heart, fern-leaf bleeding heart",Lamprocapnos spectabilis,Papaveraceae,"Herbaceous, perennial","6 in.-3 ft. tall, and 1-3 ft. wide",Part shade to full shade,Rich and moist,6.0 to 6.5 (slightly acidic); will tolerate neutral soils,Spring,"Pink, red, white",2 to 9 (USDA),Asia,Toxic to humans and animals (most commonly dogs)
106,'Bloodgood' Japanese maple,Acer palmatum 'Bloodgood',Aceraceae,Deciduous tree,15-20 ft. tall and wide,Full sun to partial shade,"Clay, loamy, sandy, well-drained",Neutral to Acidic (5.0 to 7.0),Summer,,"5-8, USA","Japan, Asia",
107,"Bloomerang lilac, reblooming lilac",Syringa x,,Deciduous shrub,Four to five feet tall and wide,Full sun,Loamy,Slightly alkaline 7.5,Spring and mid-summer through fall,"Lavender, pink, purple",3a-7b,Non-native hybrid,
108,,Hydrangea macrophylla'P11HM-11',Hydrangeaceae,Deciduous shrub,3 to 4 feet high and 4 to 5 feet wide,Partial,"Well-draining, moist","Below 5.5 for blue flowers, 5.5 to 6.5 for purple flowers, above 6.5 for reddish flowers",July and August,"Blue, purple, red",,Asia,"Toxic to humans, dogs, cats, horses"
109,"Blow wives, soft blow wives",Achyrachaena mollis,Asteraceae,Annual,1-2 feet tall,Full sun,Sandy loam to clay,Acidic to alkaline,"Spring, summer",Yellow,All zones (true annual),Western North America,
110,Blue ash,Fraxinus quadrangulata,Oleaceae,Deciduous tree,,,,,,,,,
111,"Blue Atlas cedar, Weeping blue Atlas cedar",Cedrus atlantica,,Evergreen tree,"40-60 ft. tall, 30-40 ft. wide",Full sun,Well-drained,Acidic,Non-flowering,Non-flowering,6-9 (USDA),Africa,
